plant_id,plant_name,scientific_name,last_watered,recording_taken,soil_moisture,temperature,botanist_name,botanist_email,botanist_phone,city,country_name,latitude,longitude
1,Venus flytrap,,2026-01-27T13:12:19,2026-01-27T14:23:19.752158,95.87536093514036,16.843891099806743,Sherry Campbell,sherry.campbell@lnhm.co.uk,+1-662-659-8097x8928,Mitchellfurt,Suriname,81.2003535,7.815683
2,Corpse flower,,2026-01-27T13:51:43,2026-01-27T14:23:21.085401,98.22939795149254,14.289647985747797,Jacob Hernandez,jacob.hernandez@lnhm.co.uk,8268602780,Lake Jill,United States Minor Outlying Islands,62.501933,-20.640567
3,Rafflesia arnoldii,,2026-01-26T14:52:32,2026-01-27T14:23:19.134957,16.76781223893805,14.319409247891864,Elizabeth Crawford,elizabeth.crawford@lnhm.co.uk,001-222-509-7760x0558,Edwardsstad,New Zealand,-73.9289085,-106.786584
4,Black bat flower,,2026-01-27T13:35:15,2026-01-27T14:23:21.262428,97.14796203260869,16.83905061330281,Alan Grant,alan.grant@lnhm.co.uk,6152878920,East Sherry,Latvia,23.701525,106.401108
5,Pitcher plant,['Sarracenia catesbaei'],2026-01-27T14:11:02,2026-01-27T14:23:20.223583,99.30618084680451,17.419960872987424,Jennifer Blanchard,jennifer.blanchard@lnhm.co.uk,327.732.2111,Lake Lydiaburgh,Pitcairn Islands,17.7169705,-17.829700
6,Wollemi pine,['Wollemia nobilis'],2026-01-26T14:48:48,2026-01-27T14:23:20.379585,19.246070808753572,13.063192660099334,Robert Walton,robert.walton@lnhm.co.uk,678.633.5125,South Thomas,Estonia,-65.203977,-124.152631
8,Bird of paradise,"[""Heliconia schiedeana 'Fire and Ice'""]",2026-01-26T14:47:07,2026-01-27T14:23:18.680131,22.044330158715596,16.525451379326412,Anna Davis,anna.davis@lnhm.co.uk,(601)561-8163x5240,South Tina,United Arab Emirates,-60.9363685,-152.763324
9,Cactus,['Pereskia grandifolia'],2026-01-26T14:38:15,2026-01-27T14:23:19.513531,18.099124973180082,15.906147684919503,Virginia Phillips,virginia.phillips@lnhm.co.uk,8273002266,Gambleshire,Nauru,-42.9962205,-123.053507
10,Dragon tree,,2026-01-27T13:13:02,2026-01-27T14:23:21.605852,95.85907178802748,18.20494121285467,Melinda Spencer,melinda.spencer@lnhm.co.uk,(242)257-5669x3173,Stevensberg,Hungary,-82.3459075,-13.080896
11,Asclepias Curassavica,['Asclepias curassavica'],2026-01-27T13:10:18,2026-01-27T14:23:22.607952,95.91749725512105,16.97595868784218,James Brooks,james.brooks@lnhm.co.uk,001-745-718-6720x493,Flowersberg,United Kingdom,-72.9649155,127.183588
12,Brugmansia X Candida,,2026-01-27T13:22:31,2026-01-27T14:23:22.187595,96.59404142630596,15.678603162861902,Anthony Oconnell,anthony.oconnell@lnhm.co.uk,(993)782-7225,Gomezmouth,Belgium,-40.5645435,83.998008
13,Canna ‘Striata’,,2026-01-26T14:34:26,2026-01-27T14:23:23.770573,16.678551439261412,15.049693362207057,Deborah Obrien,deborah.obrien@lnhm.co.uk,321-818-7487x25137,Millerton,Cyprus,-32.9029575,-146.302804
14,Colocasia Esculenta,['Colocasia esculenta'],2026-01-27T13:27:19,2026-01-27T14:23:22.125640,96.79396984175405,16.56602867000468,Joshua Jones,joshua.jones@lnhm.co.uk,+1-736-693-0793x86426,Watsontown,Nicaragua,-18.6871435,57.450992
15,Cuphea ‘David Verity’,,2026-01-27T13:33:54,2026-01-27T14:23:22.382188,97.0869655063788,13.581799033741625,Alexis Kaufman,alexis.kaufman@lnhm.co.uk,(356)716-8148x0222,Leeville,Cayman Islands,-62.5511245,-161.813034
16,Euphorbia Cotinifolia,['Euphorbia cotinifolia'],2026-01-27T13:16:30,2026-01-27T14:23:23.954834,94.26577881285715,15.851192901138175,Rebekah King,rebekah.king@lnhm.co.uk,(638)372-7752x12887,West Melanie,Niue,64.383879,92.902187
17,Ipomoea Batatas,['Ipomoea batatas'],2026-01-27T14:18:32,2026-01-27T14:23:25.176401,99.7082821920398,14.76622361822272,James Underwood,james.underwood@lnhm.co.uk,+1-463-529-8946x478,Leebury,Swaziland,2.146164,56.967894
18,Manihot Esculenta ‘Variegata’,,2026-01-26T14:37:10,2026-01-27T14:23:24.344539,18.50062425238096,16.383809270485656,Daniel Coffey,daniel.coffey@lnhm.co.uk,5922020840,Lake Tyler,Israel,-39.502295,-0.109342
19,Musa Basjoo,['Musa basjoo'],2026-01-26T14:49:17,2026-01-27T14:23:25.930776,19.1144606577693,15.594946424875193,John Rodriguez,john.rodriguez@lnhm.co.uk,(382)420-0455x075,Gonzalezhaven,Congo,-67.269697,102.225776
20,Salvia Splendens,['Salvia splendens'],2026-01-26T14:30:11,2026-01-27T14:23:25.758552,17.1534118044316,23.397254374029455,Jeffrey Sanchez,jeffrey.sanchez@lnhm.co.uk,4225817412,New Yolanda,Morocco,-23.4958555,-16.242039
21,Anthurium,['Anthurium andraeanum'],2026-01-26T14:50:20,2026-01-27T14:23:27.443650,18.630092470249522,15.327296380647422,Angela Myers,angela.myers@lnhm.co.uk,3838163814,West Kevinburgh,Macao,-69.5795405,-54.074219
22,Bird of Paradise,"[""Heliconia schiedeana 'Fire and Ice'""]",2026-01-26T14:35:24,2026-01-27T14:23:27.215535,15.249044975272,15.268448879550771,Andrew Gentry,andrew.gentry@lnhm.co.uk,+1-865-953-8002x162,East Rebecca,Angola,-34.9328045,150.371647
23,Cordyline Fruticosa,['Cordyline fruticosa'],2026-01-26T14:33:50,2026-01-27T14:23:28.355376,20.79560907479224,13.107963857169283,Clarence Frazier,clarence.frazier@lnhm.co.uk,(207)200-7842x16626,Mortonborough,Luxembourg,-31.6079135,-83.850347
24,Ficus,['Ficus carica'],2026-01-27T14:01:56,2026-01-27T14:23:28.504406,98.76433613671128,13.07157243586157,Laura Curtis,laura.curtis@lnhm.co.uk,(382)979-3257x31313,Lake Alexandraside,Chile,41.085675,-4.167175
25,Palm Trees,,2026-01-27T13:36:09,2026-01-27T14:23:29.357654,97.17377348258707,25.934056900650567,Larry Coleman,larry.coleman@lnhm.co.uk,(799)359-7652x4467,Farmerberg,Isle of Man,76.6820215,164.980551
26,Dieffenbachia Seguine,['Dieffenbachia seguine'],2026-01-26T14:32:38,2026-01-27T14:23:30.016540,15.913793794319304,14.075003078040941,Sarah Hammond,sarah.hammond@lnhm.co.uk,214.495.2482,Schmidtmouth,Guinea-Bissau,-29.066297,18.278546
